Marca,Modelo,Detalle Modelo,Tracción,Transmisión,Combustible,Cilindrada,Carrocería,Código Informe Técnico,Fecha de Homologación,Categoría del Vehículo,Empresa que realizó la Homologación,Norma,CO2 g/km,Rendimiento km/l Ciudad,Rendimiento km/l Carretera,Rendimiento km/l Mixto
Alfa Romeo,Giulietta,"Giuletta 1,4 Lts. 16v SOHC Hatch Back 5P. T/M Motor Otto",4x2,M,Gasolina,1.4,Hatch Back,AR3805E51013S00-5,1/6/11,LPO,Comercial Itala S.A.,EURO V,"139,00","12,50","21,70","16,70"
Alfa Romeo,Giulietta,"Giulietta 1,6 Lts. JTD DOHC Hatch Back 5P. T/M Motor Diesel",CT,M,Diesel,1.6,Hatch Back,AR5674E50414S00-9,5/13/14,LPD,Comercial Itala S.A.,EURO V,"114,00","18,20","27,00","22,70"
Alfa Romeo,Giulietta Distinctive,"Giulietta Distinctive 1,4 Lts. SOHC Hatch Back 5P. T/A Motor Otto",CT,A,Gasolina,1.4,Hatch Back,AR4716E51013S00-4,7/13/12,LPO,Comercial Itala S.A.,EURO V,"124,00","14,70","22,20","18,90"
Alfa Romeo,Giulietta Progression,"Giulietta Progression 1,4 Lts. DOHC Hatch Back 5P. T/M Motor Otto",CT,M,Gasolina,1.4,Hatch Back,AR4725E51013S00-3,7/13/12,LPO,Comercial Itala S.A.,EURO V,"157,00","11,40","18,20","14,90"
Alfa Romeo,Giulietta Quadrifoglio,"Giulietta Quadrifoglio Verdi 1,7 Lts.DOHC Hatch Back 5P. T/M Motor Otto",CT,M,Gasolina,1.7,Hatch Back,AR4720E51013S00-6,7/13/12,LPO,Comercial Itala S.A.,EURO V,"181,00","9,20","16,90","12,80"
Alfa Romeo,Mito,"Mito 1,4 Lts. Quadrifoglio SOHC Hatch Back 3P. T/M Motor Otto",4x2,M,Gasolina,1.4,Hatch Back,AR3898E51013S00-2,2/25/11,LPO,Comercial Itala S.A.,EURO V,"141,00","12,20","20,80","16,40"
Alfa Romeo,Mito,"Mito 1,4 Lts. 135 CV DOHC Hatch Back 3P. T/M Motor Otto",CT,M,Gasolina,1.4,Hatch Back,AR4667E51013S00-9,6/11/12,LPO,Comercial Itala S.A.,EURO V,"130,00","13,30","22,20","17,90"
Alfa Romeo,Mito,"Mito 1,4 Lts. 78 CV SOHC Hatch Back 3P. T/M Motor Otto",4x2,M,Gasolina,1.4,Hatch Back,AR5071E50213S00-1,3/25/13,LPO,Comercial Itala S.A.,EURO V,"182,00","13,50","21,30","17,50"
Alfa Romeo,Mito,"Mito 1,4 Lts. SOHC Hatch Back 3P. T/A Motor Otto",4x2,A,Gasolina,1.4,Hatch Back,AR4043E51013S00-6,4/21/11,LPO,Comercial Itala S.A.,EURO V,"130,00","13,70","21,70","17,90"
Alfa Romeo,Mito JTD,"Mito JTD 85 CV 1,2 Lts. DOHC Hatch Back 3P. T/M Motor Diesel",CT,M,Diesel,1.2,Hatch Back,AR5497E51213S00-6,2/27/14,LPD,Comercial Itala S.A.,EURO V,"91,00","22,70","34,50","28,60"
Aston Martin,DB9,"DB9 5,9 Lts. V12 DOHC Coupe 2P. T/A Motor Otto",4x2,A,Gasolina,5.9,Coupé,AM3804E60215S00-7,1/25/11,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"325,00","4,70","10,20","7,10"
Aston Martin,DB9,"DB9 5,9 Lts. V12 DOHC Convertible 2P. T/A Motor Otto",4x2,A,Gasolina,5.9,Cabriolet,AM3804E60215S01-0,,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"325,00","4,70","10,20","7,10"
Aston Martin,Rapide,"Rapide 5,9 Lts. DOHC Hatch Back 4P. T/A Motor Otto",4x2,A,Gasolina,5.9,Hatch Back,AM3993E60215S00-6,3/25/11,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"300,00","5,10","11,00","7,80"
Aston Martin,Rapide,"Rapide 5,9 Lts. DOHC Hatch Back 2P. T/A Motor Otto",4x2,A,Gasolina,5.9,Hatch Back,AM3993E60215S01-K,,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"300,00","5,10","11,00","7,80"
Aston Martin,Rapide S,"Rapide S 5,9 Lts. DOHC Hatch Back 4P. T/A Motor Otto",4x2,A,Gasolina,5.9,Hatch Back,AM3993E60215S02-3,,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"300,00","5,10","11,00","7,80"
Aston Martin,V12 Vantage S,"V12 Vantage S 6,0 Lts. DOHC Coupé 2P. T/A Motor Otto",CT,A,Gasolina,6,Coupé,AM5577E50214S00-1,3/7/14,LPO,Comercial y Arrendamientos León Ltda.,EURO V,"356,00","4,30","9,40","6,60"
Aston Martin,V12 Vantage S,"V12 Vantage S 6,0 Lts. DOHC Roadster 2P. T/A Motor Otto",CT,A,Gasolina,6,Convertible,AM5577E50214S01-5,10-02-15 (Ext.),LPO,Comercial y Arrendamientos León Ltda.,EURO V,"343,00","4,40","9,80","6,80"
Aston Martin,Vanquish,"Vanquish 5,9 Lts. DOHC Coupé 2P. T/A Motor Otto",CT,A,Gasolina,5.9,Coupé,AM5170E50413S00-6,5/22/13,LPO,Comercial y Arrendamientos León Ltda.,EURO V,"335,00","4,70","9,80","6,90"
Aston Martin,Vanquish,"Vanquish 5,9 Lts. DOHC Convertible 2P. T/A Motor Otto",CT,A,Gasolina,5.9,Cabriolet,AM5170E50413S01-K,,LPO,Comercial y Arrendamientos León Ltda.,EURO V,"335,00","4,70","9,80","6,90"
Aston Martin,Vantage,"Vantage 4,7 Lts. V8 DOHC Hatch Back 2P. T/A Motor Otto",4x2,A,Gasolina,4.7,Hatch Back,AM3767E60215S00-7,12/30/10,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"296,00","5,30","10,90","7,80"
Aston Martin,Vantage,"Vantage 4,7 Lts. V8 DOHC Roadster 2P. T/A Motor Otto",4x2,A,Gasolina,4.7,Cabriolet,AM3767E60215S01-0,,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"296,00","5,30","10,90","7,80"
Aston Martin,Vantage,"Vantage 4,7 Lts. V8 DOHC Coupe 2P. T/A Motor Otto",4x2,A,Gasolina,4.7,Coupe,AM3767E60215S02-4,,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"296,00","5,30","10,90","7,80"
Aston Martin,Vantage S,"Vantage S 4,7 Lts. V8 DOHC Coupe 2P. T/A Motor Otto",4x2,A,Gasolina,4.7,Coupe,AM3767E60215S03-8,,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"296,00","5,30","10,90","7,80"
Aston Martin,Vantage S,"Vantage S 4,7 Lts. V8 DOHC Roadster 2P. T/A Motor Otto",4x2,A,Gasolina,4.7,Cabriolet,AM3767E60215S04-1,,LPO,Comercial y Arrendamientos León Ltda.,EURO VI,"296,00","5,30","10,90","7,80"
Audi,A1,"A1 1,4 Lts. DOHC TFSI Hatch Back 5P. T/A 4x2 Motor CTHG Otto",4x2,A,Gasolina,1.4,Hatch Back,AD5269E50713S00-K,7/18/13,LPO,Porsche Chile SPA,EURO V,"156,00","11,40","19,00","15,30"
Audi,A1,"A1 1,4 Lts. DOHC TFSI Hatch Back 3P. T/A 4x2 Motor CTHG Otto",4x2,A,Gasolina,1.4,Hatch Back,AD5269E50713S01-3,,LPO,Porsche Chile SPA,EURO V,"156,00","11,40","19,00","15,30"
Audi,A1,"A1 1,4 Lts. TFSI DOHC Hatch Back 3P. T/A Motor CAXA Otto",4x2,A,Gasolina,1.4,Hatch Back,AD6072E51214S00-5,2/6/15,LPO,Porsche Chile SPA,EURO V,"146,00","12,40","19,90","16,30"
Audi,A1,"A1 1,4 Lts. TFSI DOHC Hatch Back 5P. T/M Motor CAXA Otto",CT,M,Gasolina,1.4,Hatch Back,AD5915E50914S01-3,,LPO,Porsche Chile SPA,EURO V,"126,00","14,50","21,70","18,50"
Audi,A1,"A1 1,4 Lts. TFSI DOHC Hatch Back 3P. T/M Motor CAXA Otto",CT,M,Gasolina,1.4,Hatch Back,AD5915E50914S00-K,10/8/14,LPO,Porsche Chile SPA,EURO V,"124,00","14,70","22,70","18,90"
Audi,A1,"A1 1,2 Lts. T-FSI SOHC Hatch Back 3P. T/M Motor CBZA Otto",4x2,M,Gasolina,1.2,Hatch Back,AD3949E50314S00-5,2/24/11,LPO,Porsche Chile SPA,EURO V,"120,00","15,90","22,20","19,20"
Audi,A1,"A1 1,2 Lts. T-FSI SOHC Hatch Back 5P. T/M Motor CBZA Otto",4x2,M,Gasolina,1.2,Hatch Back,AD3949E50314S01-9,,LPO,Porsche Chile SPA,EURO V,"120,00","15,90","22,20","19,20"
Audi,A1 Sportback,"A1 Sportback 1,4 Lts. TFSI DOHC Hatch Back 5P. T/A Motor Caxa Otto",4x2,A,Gasolina,1.4,Hatch Back,AD6072E51214S01-9,,LPO,Porsche Chile SPA,EURO V,"146,00","12,40","19,90","16,30"
Audi,A1 TFSI,"A1 TFSI 1,4 Lts. Hatch Back 3P. T/M Otto",4x2,M,Gasolina,1.4,Hatch Back,AD6208E60515S00-0,7/8/15,LPO,Porsche Chile SPA,EURO VI,"123,00","14,90","22,70","19,20"
Audi,A1 TFSI,"A1 TFSI 1,4 Lts. Hatch Back 5P. T/M Otto",4x2,M,Gasolina,1.4,Hatch Back,AD6208E60515S01-4,,LPO,Porsche Chile SPA,EURO VI,"123,00","14,90","22,70","19,20"
Audi,A1 TFSI,"A1 TFSI 1,4 Lts. Hatch Back 5P. T/A Otto",4x2,A,Gasolina,1.4,Hatch Back,AD6209E60515S01-K,,LPO,Porsche Chile SPA,EURO VI,"120,00","15,60","22,20","19,20"
Audi,A1 TFSI,"A1 TFSI 1,4 Lts. Hatch Back 3P. T/A Otto",4x2,A,Gasolina,1.4,Hatch Back,AD6209E60515S00-6,7/9/15,LPO,Porsche Chile SPA,EURO VI,"117,00","15,90","22,70","19,60"
Audi,A3,"A3 1,8 Lts. TFSI DOHC Hatch Back 3P. T/M Motor CJSA Otto",4x2,M,Gasolina,1.8,Hatch Back,AD5275E50713S00-2,8/29/13,LPO,Porsche Chile SPA,EURO V,"164,00","10,30","18,90","14,50"
Audi,A3,"A3 1,8 Lts. TFSI DOHC Hatch Back 5P. T/M Motor CJSA Otto",4x2,M,Gasolina,1.8,Hatch Back,AD5275E50713S01-6,,LPO,Porsche Chile SPA,EURO V,"164,00","10,30","18,90","14,50"
Audi,A3,"A3 1,8 Lts. TFSI DOHC Station Wagon 2P. T/A DSG Motor CJSA Otto",4x2,A,Gasolina,1.8,Station Wagon,AD5174E50513S00-5,6/7/13,LPO,Porsche Chile SPA,EURO V,"159,00","10,70","19,10","14,90"
Audi,A3,"A3 1,8 Lts. TFSI DOHC Sportback 4P. T/A DSG Motor CJSA Otto",4x2,A,Gasolina,1.8,Hatch Back,AD5174E50513S01-9,,LPO,Porsche Chile SPA,EURO V,"159,00","10,70","19,10","14,90"
Audi,A3,"A3 1,8 Lts. TFSI DOHC Sedan 4P. T/A ASG Motor CJSA Otto",4x2,A,Gasolina,1.8,Sedan,AD5174E50513S02-2,,LPO,Porsche Chile SPA,EURO V,"159,00","10,70","19,10","14,90"
Audi,A3,"A3 1,4 Lts. TFSI DOHC Hatch Back 5P. T/M Motor CXSA Otto",CT,M,Gasolina,1.4,Hatch Back,AD5402E51013S00-6,11/25/13,LPO,Porsche Chile SPA,EURO V,"143,00","12,20","21,30","16,70"
Audi,A3,"A3 1,4 Lts. TFSI DOHC Hatch Back 3P. T/M Motor CXSA Otto",CT,M,Gasolina,1.4,Hatch Back,AD5402E51013S01-K,,LPO,Porsche Chile SPA,EURO V,"143,00","12,20","21,30","16,70"
Audi,A3,"A3 1,4 Lts. Turbo TFSI DOHC Hatch Back 3P. T/M Motor CZCA Otto",CT,M,Gasolina,1.4,Hatch Back,AD5931E60914S00-4,10/24/14,LPO,Porsche Chile SPA,EURO VI,"120,00","14,70","23,80","19,20"
Audi,A3,"A3 1,4 Lts. Turbo TFSI DOHC Hatch Back 5P. T/M Motor CZCA Otto",CT,M,Gasolina,1.4,Hatch Back,AD5931E60914S01-8,,LPO,Porsche Chile SPA,EURO VI,"120,00","14,70","23,80","19,20"
Audi,A3,"A3 1,4 Lts. Turbo TFSI DOHC Cabriolet 2P. T/A Motor CZCA Otto",CT,A,Gasolina,1.4,Cabriolet,AD5930E60914S03-K,,LPO,Porsche Chile SPA,EURO VI,"120,00","15,60","22,20","19,20"
Audi,A3,"A3 1,2 Lts. Turbo TFSI Hatch Back 3P. T/M Motor CYVB Otto",CT,M,Gasolina,1.2,Hatch Back,AD5928E60914S00-8,10/24/14,LPO,Porsche Chile SPA,EURO VI,"116,00","15,90","23,30","20,00"
Audi,A3,"A3 1,2 Lts. Turbo TFSI Hatch Back 5P. T/M Motor CYVB Otto",CT,M,Gasolina,1.2,Hatch Back,AD5928E60914S01-1,,LPO,Porsche Chile SPA,EURO VI,"116,00","15,90","23,30","20,00"
Audi,A3,"A3 1,4 Lts. Turbo TFSI DOHC Hatch Back 3P. T/A Motor CZCA Otto",CT,A,Gasolina,1.4,Hatch Back,AD5930E60914S00-9,10/24/14,LPO,Porsche Chile SPA,EURO VI,"117,00","16,10","23,30","20,00"
Audi,A3,"A3 1,4 Lts. TFSI DOHC Station Wagon 2P. T/A DSG Motor CMBA Otto",4x2,A,Gasolina,1.4,Station Wagon,AD5135E50413S00-3,5/27/13,LPO,Porsche Chile SPA,EURO V,"116,00","16,10","23,30","20,00"
Audi,A3,"A3 1,4 Lts. TFSI DOHC Hatch Back 3P. T/A Motor CXSA Otto",CT,A,Gasolina,1.4,Hatch Back,AD5382E51013S01-2,,LPO,Porsche Chile SPA,EURO V,"116,00","16,10","23,30","20,00"
Audi,A3,"A3 1,4 Lts. TFSI DOHC Sportback 4P. T/A DSG Motor CMBA Otto",4x2,A,Gasolina,1.4,Hatch Back,AD5135E50413S01-7,,LPO,Porsche Chile SPA,EURO V,"118,00","16,10","22,70","19,60"
Audi,A3,"A3 1,4 Lts. Turbo TFSI DOHC Hatch Back 5P. T/A Motor CZCA Otto",CT,A,Gasolina,1.4,Hatch Back,AD5930E60914S01-2,,LPO,Porsche Chile SPA,EURO VI,"114,00","16,40","23,30","20,40"
Audi,A3,"A3 1,4 Lts. Turbo TFSI DOHC Sedan 4P. T/A Motor CZCA Otto",CT,A,Gasolina,1.4,Sedan,AD5930E60914S02-6,,LPO,Porsche Chile SPA,EURO VI,"114,00","16,40","23,80","20,40"
Audi,A3,"A3 1,4 Lts. TFSI DOHC Hatch Back 5P. T/A Motor CXSA Otto",CT,A,Gasolina,1.4,Hatch Back,AD5382E51013S00-9,11/7/13,LPO,Porsche Chile SPA,EURO V,"116,00","16,40","23,30","20,00"
Audi,A3,"A3 1,4 Lts. TFSI DOHC Sedan 4P. T/A Motor CXSA Otto",CT,A,Gasolina,1.4,Sedan,AD5382E51013S02-6,,LPO,Porsche Chile SPA,EURO V,"116,00","16,40","23,30","20,00"
Audi,A3,"A3 1,2 Lts. TFSI DOHC Hatch Back 5P. T/A Motor CJZA Otto",CT,A,Gasolina,1.2,Hatch Back,AD5327E50813S01-7,,LPO,Porsche Chile SPA,EURO V,"179,00","16,40","22,20","19,60"
Audi,A3,"A3 1,2 Lts. TFSI DOHC Sedan 4P. T/A Motor CJZA Otto",CT,A,Gasolina,1.2,Sedan,AD5327E50813S02-0,,LPO,Porsche Chile SPA,EURO V,"179,00","16,40","22,20","19,60"
Audi,A3,"A3 1,2 Lts. Turbo TFSI Hatch Back 3P. T/A Motor CYVB Otto",CT,A,Gasolina,1.2,Hatch Back,AD5929E60914S00-3,10/24/14,LPO,Porsche Chile SPA,EURO VI,"113,00","16,70","23,80","20,40"
Audi,A3,"A3 1,2 Lts. Turbo TFSI Hatch Back 5P. T/A Motor CYVB Otto",CT,A,Gasolina,1.2,Hatch Back,AD5929E60914S01-7,,LPO,Porsche Chile SPA,EURO VI,"113,00","16,70","23,80","20,40"
Audi,A3,"A3 1,2 Lts. TFSI DOHC Hatch Back 3P. T/M Motor CJZA Otto",CT,M,Gasolina,1.2,Hatch Back,AD5258E50613S00-0,7/31/13,LPO,Porsche Chile SPA,EURO V,"116,00","16,70","22,20","20,00"
Audi,A3,"A3 1,2 Lts. TFSI DOHC Hatch Back 5P. T/M Motor CJZA Otto",CT,M,Gasolina,1.2,Hatch Back,AD5258E50613S01-4,,LPO,Porsche Chile SPA,EURO V,"114,00","16,90","22,70","20,40"
Audi,A3,"A3 1,2 Lts. TFSI DOHC Hatch Back 3P. T/A Motor CJZA Otto",CT,A,Gasolina,1.2,Hatch Back,AD5327E50813S00-3,9/11/13,LPO,Porsche Chile SPA,EURO V,"114,00","16,90","22,70","20,00"
Audi,A3,"A3 2,0 LTS. TDI DOHC Sedan 4P. T/A Motor CRBC Diesel",4x2,A,Diesel,2,Sedan,AD4970E51212S02-7,,LPD,Porsche Chile SPA,EURO V,"122,00","18,20","23,80","21,70"
Audi,A3,"A3 2,0 LTS. TDI DOHC Hatch Back 3P. T/A Motor CRBC Diesel",4x2,A,Diesel,2,Hatch Back,AD4970E51212S00-K,2/18/13,LPD,Porsche Chile SPA,EURO V,"120,00","18,90","24,40","22,20"
Audi,A3,"A3 2,0 LTS. TDI DOHC SportBack 5P. T/A Motor CRBC Diesel",4x2,A,Diesel,2,Hatch Back,AD4970E51212S01-3,,LPD,Porsche Chile SPA,EURO V,"120,00","18,90","24,40","22,20"
Audi,A4,"A4 2,0 Lts. TDI DOHC Sedan 4P. T/A Motor CJCA Diesel",4x2,A,Diesel,2,Sedan,AD4748E50712S00-K,12/6/12,LPD,Porsche Chile SPA,EURO V,"166,00","12,30","19,20","15,90"
Audi,A4,"A4 1,8 Lts. T-FSI DOHC Sedan 4P. T/A Motor CDHA Otto",CT,A,Gasolina,1.8,Sedan,AD5271E50713S00-0,8/7/13,LPO,Porsche Chile SPA,EURO V,"116,00","13,00","18,20","15,90"
Audi,A4,"A4 2,0 Lts. TFSI DOHC Station Wagon 5P. T/A Motor CNDC Otto",CT,A,Gasolina,2,Station Wagon,AD5916E50914S01-9,,LPO,Porsche Chile SPA,EURO VI,"143,00","13,20","18,90","16,40"
Audi,A4,"A4 2,0 Lts. TFSI DOHC Sedan 4P. T/A Motor CNDC Otto",CT,A,Gasolina,2,Sedan,AD5916E50914S00-5,10/3/14,LPO,Porsche Chile SPA,EURO VI,"139,00","13,30","19,60","16,90"
Audi,A4,"A4 2,0 Lts. TDI DOHC Sedan 4P. T/A Motor CAGA Diesel",4x2,A,Diesel,2,Sedan,AD4215E50511S00-2,5/30/11,LPD,Porsche Chile SPA,EURO V,"149,00","13,70","20,80","17,50"
Audi,A4,"A4 1,8 Lts. T-FSI DOHC Sedan 4P. T/A Motor CJEB Otto",4x2,A,Gasolina,1.8,Sedan,AD4707E50414S00-0,6/29/12,LPO,Porsche Chile SPA,EURO V,"136,00","14,30","19,20","16,90"
Audi,A4 Allroad Quattro,"A4 Allroad Quattro Stronic 2,0 Lts., TFSI DOHC Station Wagon 4P. T/A Motor CNCD Otto",4x4,A,Gasolina,2,Station Wagon,AD5446E51113S00-5,1/7/14,LPO,Porsche Chile SPA,EURO V,"166,00","11,50","16,10","13,90"
Audi,A4 Allroad Quattro,"A4 Allroad Quattro Stronic 2,0 Lts., TFSI DOHC Sedán 4P. T/A Motor CNCD Otto",4x4,A,Gasolina,2,Sedan,AD5446E51113S01-9,,LPO,Porsche Chile SPA,EURO V,"155,00","11,80","17,90","14,90"
Audi,A4 Avant,"A4 Avant 2,0 Lts. TDI DOHC Station Wagon 5P. T/A Motor CAGA Diesel",4x2,A,Diesel,2,Station Wagon,AD4215E50511S01-6,,LPD,Porsche Chile SPA,EURO V,"149,00","13,70","20,80","17,50"
Audi,A4 Avant,"A4 Avant 1,8 Lts. T-FSI DOHC Station Wagon 5P. T/A Motor CJEB Otto",4x2,A,Gasolina,1.8,Station Wagon,AD4707E50414S01-4,,LPO,Porsche Chile SPA,EURO V,"141,00","14,10","18,20","16,40"
Audi,A5 Quattro,"A5 Quattro 2,0 Lts., TFSI DOHC Convertible 2P. Stronic 4x4 Motor CNCD Otto",4x4,A,Gasolina,2,Convertible,AD5445E51113S00-K,1/7/14,LPO,Porsche Chile SPA,EURO V,"159,00","11,60","16,90","14,50"
Audi,A5 Quattro,"A5 Quattro 2,0 Lts., TFSI DOHC Hatch Back 5P. Stronic 4x4 Motor CNCD Otto",4x4,A,Gasolina,2,Hatch Back,AD5445E51113S01-3,,LPO,Porsche Chile SPA,EURO V,"155,00","11,80","17,90","14,90"
Audi,A5 Quattro,"A5 Quattro 2,0 Lts., TFSI DOHC Coupe 2P. Stronic 4x4 Motor CNCD Otto",4x4,A,Gasolina,2,Coupé,AD5445E51113S02-7,,LPO,Porsche Chile SPA,EURO V,"155,00","11,80","17,90","14,90"
Audi,A5 Quattro Stronic,"A5 Quattro Stronic 3,0 Lts. TFSI DOHC Coupé 2P. T/A 4x4 Motor CMUA Otto",4x4,A,Gasolina,3,Coupé,AD5308E50813S00-K,9/16/13,LPO,Porsche Chile SPA,EURO V,"192,00","9,10","14,90","12,20"
Audi,A5 Quattro Stronic,"A5 Quattro Stronic 3,0 Lts. TFSI DOHC Hatch Back 5P. T/A 4x4 Motor CMUA Otto",4x4,A,Gasolina,3,Hatch Back,AD5308E50813S01-3,,LPO,Porsche Chile SPA,EURO V,"192,00","9,10","14,90","12,20"
Audi,A5 Sportback,"A5 Sportback 1,8 Lts. T-FSI DOHC Hatch Back 5P. T/A Motor CJEB Otto",4x2,A,Gasolina,1.8,Hatch Back,AD4611E50313S00-9,5/4/12,LPO,Porsche Chile SPA,EURO V,"138,00","14,10","18,90","16,70"
Audi,A5 Sportback,"A5 Sportback 1,8 Lts. T-FSI DOHC Cabio 2P. T/A Motor CJEB Otto",4x2,A,Gasolina,1.8,Cabriolet,AD4611E50313S01-2,,LPO,Porsche Chile SPA,EURO V,"138,00","14,10","18,90","16,70"
Audi,A5 Sportback,"A5 Sportback 1,8 Lts. T-FSI DOHC Coupe 3P. T/A Motor CJEB Otto",4x2,A,Gasolina,1.8,Coupé,AD4611E50313S02-6,,LPO,Porsche Chile SPA,EURO V,"138,00","14,10","18,90","16,70"
Audi,A5 Sportback TFSI,"A5 Sportback TFSI 2,0 Lts. Hatch Back 5P. T/A Otto",4x2,A,Gasolina,2,Hatch Back,AD6103E60115S01-7,,LPO,Porsche Chile SPA,EURO VI,"145,00","12,70","18,90","16,10"
Audi,A5 TFSI,"A5 TFSI 2,0 Lts. Coupe 2P. T/A Otto",4x2,A,Gasolina,2,Coupe,AD6103E60115S00-3,3/20/15,LPO,Porsche Chile SPA,EURO VI,"139,00","13,30","19,60","16,90"
Audi,A6,"A6 3,0 Lts. T-FSI DOHC Sedan 4P. 4x4 T/A Motor CGWD Otto",4x4,A,Gasolina,3,Sedan,AD4879E50314S00-8,2/1/13,LPO,Porsche Chile SPA,EURO V,"192,00","9,20","14,90","12,00"
Audi,A6,"A6 3,0 Lts. T-FSI DOHC Station Wagon (Allroad) 5P. 4x4 T/A Motor CGWD Otto",4x4,A,Gasolina,3,Station Wagon,AD4879E50314S01-1,,LPO,Porsche Chile SPA,EURO V,"190,00","9,30","15,20","12,20"
Audi,A6,"A6 2,0 Lts. T-FSI DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,2,Sedan,AD4441E50314S00-6,11/17/11,LPO,Porsche Chile SPA,EURO V,"151,00","12,20","18,20","15,40"
Audi,A6,"A6 3,0 Lts. TDI DOHC Sedan 4P. 4x4 T/A Motor CDUC Diesel",4x4,A,Diesel,3,Sedan,AD4300E50711S00-2,8/2/11,LPD,Porsche Chile SPA,EURO V,"162,00","13,50","18,50","16,40"
Audi,A6,"A6 2,0 Lts. TDI DOHC Sedan 4P. T/A Motor CGLC Diesel",CT,A,Diesel,2,Sedan,AD5534E50114S00-6,2/5/14,LPD,Porsche Chile SPA,EURO V,"132,00","16,70","22,70","20,00"
Audi,A6 Allroad,"A6 Allroad 3,0 Lts. TDI DOHC Station Wagon 5P. 4x4 T/A Motor CDUC Diesel",4x4,A,Diesel,3,Station Wagon,AD4300E50711S02-K,,LPD,Porsche Chile SPA,EURO V,"162,00","13,50","18,50","16,40"
Audi,A6 Avant,"A6 Avant 3,0 Lts. TDI DOHC Station Wagon 5P. 4x4 T/A Motor CDUC Diesel",4x4,A,Diesel,3,Station Wagon,AD4300E50711S01-6,,LPD,Porsche Chile SPA,EURO V,"162,00","13,50","18,50","16,40"
Audi,A6 T Quattro,"A6 T Quattro 3,0 Lts. Sedan 4P. T/A Otto",4x4,A,Gasolina,3,Sedan,AD6250E60615S00-9,7/30/15,LPO,Porsche Chile SPA,EURO VI,"172,00","10,20","16,70","13,50"
Audi,A6 Ultra,"A6 Ultra 1,8 Lts. T DOHC Sedan 4P. T/A Motor CYGA Otto",4x2,A,Gasolina,1.8,Sedan,AD6123E60215S00-1,3/4/15,LPO,Porsche Chile SPA,EURO VI,"133,00","14,10","20,00","17,50"
Audi,A7,"A7 3,0T Lts. FSI DOHC Sportback 5P. T/A 4x4 Motor CGWD Otto",4x4,A,Gasolina,3,Hatch Back,AD4880E50314S00-3,11/30/12,LPO,Porsche Chile SPA,EURO V,"190,00","9,30","15,20","12,20"
Audi,A7,"A7 3,0 Lts. TDI DOHC Hatch Back 5 T/A 4x4 Motor CDUD Diesel",4x4,A,Diesel,3,Hatch Back,AD4833E50912S00-K,11/20/12,LPD,Porsche Chile SPA,EURO V,"156,00","13,90","18,90","16,90"
Audi,A7 Quattro Sportback,"A7 Quattro Sportback 3,0 Lts. T DOHC Hatch Back 5P. T/A 4x4 Motor CREC Otto",4x4,A,Gasolina,3,Hatch Back,AD6122E60215S00-6,3/3/15,LPO,Porsche Chile SPA,EURO VI,"179,00","9,90","15,90","13,00"
Audi,A8,"A8 3,0 Lts. T-FSi DOHC Sedan 4P. T/A 4x4 Motor CGWA Otto",4x4,A,Gasolina,3,Sedan,AD4823E50314S00-2,10/25/12,LPO,Porsche Chile SPA,EURO V,"207,00","8,50","13,90","11,20"
Audi,A8 Quattro,"A8 Quattro 3,0 Lts. TFSI DOHC Sedan 4P. T/A 4x4 Motor CREA Otto",4x4,A,Gasolina,3,Sedan,AD6058E61214S00-6,2/4/15,LPO,Porsche Chile SPA,EURO VI,"183,00","9,50","15,90","12,80"
Audi,Q3,"Q3 2,0 Lts. T-FSI DOHC Station Wagon T/A 4x4 Motor CPSA Otto",4x4,A,Gasolina,2,Station Wagon,AD4761E50314S00-6,8/22/12,LPO,Porsche Chile SPA,EURO V,"179,00","9,80","15,60","13,00"
Audi,Q3,"Q3 1,4 Lts. TFSI DOHC Station Wagon 5P. T/A Motor CHPB Otto",CT,A,Gasolina,1.4,Station Wagon,AD5621E50214S00-8,3/25/14,LPO,Porsche Chile SPA,EURO V,"147,00","12,80","18,20","15,90"
Audi,Q3,"Q3 2,0 Lts. TDI DOHC Station Wagon T/A 4x4 Motor CFGC Diesel",4x4,A,Diesel,2,Station Wagon,AD4756E50712S00-3,8/24/12,LPD,Porsche Chile SPA,EURO V,"159,00","14,10","18,50","16,70"
Audi,Q3 T,"Q3 T 1,4 Lts. Station Wagon 5P. T/A Otto",4x2,A,Gasolina,1.4,Station Wagon,AD6223E60615S00-1,7/31/15,LPO,Porsche Chile SPA,EURO VI,"176,00","10,70","15,80","13,50"
Audi,Q5,"Q5 3,0 Lts. T-FSI DOHC Station Wagon 5P. 4x4 T/A Motor Otto",4x4,A,Gasolina,3,Station Wagon,AD5070E50414S00-1,3/13/13,LPO,Porsche Chile SPA,EURO V,"202,00","8,60","14,20","11,40"
